,subject_num,block_num,trial_num,rt_trail,s_bl,s_pretrial,s_ret,wm_perf,triggered_low,triggered_high,wm_perf_subjmean,arf,s_preret,s_preret_bl,s_prevstim,s_prevstim_bl,probes_perloc_rts0,probes_perloc_rts1,probes_perloc_rts2,probes_perloc_rts3,probes_perloc_rts4,probes_perloc_rts5,probes_perloc_respind0,probes_perloc_respind1,probes_perloc_respind2,probes_perloc_respind3,probes_perloc_respind4,probes_perloc_respind5,probes_perloc_colorind0,probes_perloc_colorind1,probes_perloc_colorind2,probes_perloc_colorind3,probes_perloc_colorind4,probes_perloc_colorind5,probes_perloc_acc0,probes_perloc_acc1,probes_perloc_acc2,probes_perloc_acc3,probes_perloc_acc4,probes_perloc_acc5,probes_perloc_resporder0,probes_perloc_resporder1,probes_perloc_resporder2,probes_perloc_resporder3,probes_perloc_resporder4,probes_perloc_resporder5,probes_perresporder_acc0,probes_perresporder_acc1,probes_perresporder_acc2,probes_perresporder_acc3,probes_perresporder_acc4,probes_perresporder_acc5,probes_sortedbylocacc_acc0,probes_sortedbylocacc_acc1,probes_sortedbylocacc_acc2,probes_sortedbylocacc_acc3,probes_sortedbylocacc_acc4,probes_sortedbylocacc_acc5
155,5,3,540,0.472087022,NA,NA,1455.974,6.0,0.0,1.0,3.0865384615384617,0,1407.3735943356935,1436.08,1382.7740324594258,1441.11,0.8151357293827459,1.7574932260758942,3.2852805704751518,4.1342876317794435,5.101322340720799,6.925268448118004,2.0,3.0,1.0,8.0,0.0,4.0,2,3,1,8,0,4,1,1,1,1,1,1,0,1,2,3,4,5,1,1,1,1,1,1,1,1,1,1,1,1
156,5,3,544,0.29666291100000003,NA,NA,1753.143,4.0,1.0,0.0,3.0865384615384617,0,1677.4135776759683,1613.86,1729.5405742821474,1637.29,2.700563752427115,3.9155084092344623,1.741709640409681,0.9633064847148489,4.883700045160367,6.899191975753638,0.0,8.0,5.0,7.0,4.0,6.0,0,4,5,7,8,6,1,0,1,1,0,1,3,2,0,1,4,5,1,1,1,0,0,1,1,1,1,0,0,1
157,5,3,550,0.296270711,NA,NA,1573.725,4.0,1.0,0.0,3.0865384615384617,0,1514.5847563515201,1465.94,1550.052434456929,1549.94,3.692797687734128,7.900579831941286,0.9344152415578719,1.709465646854369,2.4455828083737288,5.844615699534188,2.0,5.0,7.0,6.0,0.0,8.0,2,4,7,6,0,3,1,0,1,1,1,0,2,3,4,0,5,1,1,1,1,1,0,0,1,1,1,0,1,0
158,5,3,585,0.310148608,NA,NA,1465.57,2.0,1.0,0.0,3.0865384615384617,0,1446.2178259058726,1465.66,1397.8027465667915,1399.68,4.638312072638655,5.6777356846723706,1.2849330362369074,2.3740161274181446,3.308994152073865,6.941080543561839,0.0,1.0,3.0,7.0,5.0,4.0,5,2,3,7,0,1,0,0,1,1,0,0,2,3,4,0,1,5,1,1,0,0,0,0,1,1,0,0,0,0
159,5,3,596,0.301383561,NA,NA,1496.0025,4.0,1.0,0.0,3.0865384615384617,0,1370.4427321949188,1378.78,1354.972534332085,1394.09,7.937432431819616,5.994351641944377,4.897561501304153,3.6107798908051336,1.251264408841962,10.009427044613403,4.0,7.0,4.0,3.0,6.0,1.0,4,7,8,3,6,2,1,1,0,1,1,0,4,3,2,1,0,5,1,1,0,1,1,0,1,0,1,1,1,0
160,5,3,603,0.30091276899999997,NA,NA,1540.843,3.0,1.0,0.0,3.0865384615384617,0,1504.201166180758,1596.22,1421.996254681648,1496.68,8.673301843329682,2.6738900001364527,1.7383489072672091,1.0191731136728777,6.002322691958398,7.697691391862463,5.0,7.0,8.0,0.0,3.0,6.0,2,7,8,0,5,1,0,1,1,1,0,0,3,2,1,4,5,0,1,1,1,0,0,0,1,1,0,1,0,0
161,5,3,622,0.278780625,NA,NA,1504.78,5.0,1.0,0.0,3.0865384615384617,0,1450.8967097042898,1455.46,1451.6392009987514,1399.52,6.38691423801356,2.3484853322879644,1.5887124640139518,0.9238726091571152,3.7720702777442057,5.41933413692459,1.0,7.0,5.0,2.0,4.0,8.0,0,7,5,2,4,8,0,1,1,1,1,1,3,2,1,4,5,0,1,1,1,1,1,0,1,1,0,1,1,1
162,5,3,634,0.304690315,NA,NA,1568.929,5.0,1.0,0.0,3.0865384615384617,0,1450.9408579758433,1455.13,1442.0686641697878,1475.37,3.8174071037210524,3.0814182362228166,2.1940370079682907,1.3533248678286327,8.632093518928741,5.120856673340313,0.0,8.0,3.0,7.0,1.0,5.0,0,8,3,7,6,5,1,1,1,1,0,1,3,2,1,0,5,4,1,1,1,1,1,0,1,1,1,1,0,1
163,5,3,672,0.27391258,NA,NA,1529.835,1.0,1.0,0.0,3.0865384615384617,0,1508.7855060391503,1482.37,1505.3682896379526,1503.7,1.1322551694029244,1.973292321068584,2.8770675294217654,3.740718355285935,4.659941304067615,7.571107103271061,6.0,7.0,5.0,8.0,4.0,2.0,6,5,0,2,8,3,1,0,0,0,0,0,0,1,2,3,4,5,1,0,0,0,0,0,0,0,1,0,0,0
164,5,3,681,0.287150812,NA,NA,1562.0755,6.0,1.0,0.0,3.0865384615384617,0,1488.6009995835068,1514.0,1463.7116104868915,1530.1,0.8871009770955425,7.133651863638079,3.071385643852409,4.253832855130895,5.846585155304638,2.0217660783819156,7.0,4.0,2.0,1.0,6.0,3.0,7,4,2,1,6,3,1,1,1,1,1,1,0,5,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1
165,5,3,696,0.27552376300000003,NA,NA,1520.4875,2.0,1.0,0.0,3.0865384615384617,0,1624.3340274885463,1528.55,1557.6104868913858,1630.98,1.6218014875194058,6.564606302708853,5.453165840255679,0.6775247122714063,3.853766199259553,2.589939525045338,2.0,6.0,0.0,6.0,8.0,1.0,2,4,8,6,1,7,1,0,0,1,0,0,3,0,5,4,2,1,1,1,0,0,0,0,1,0,1,0,0,0
166,5,3,720,0.5398873710000001,NA,NA,1527.893,3.0,0.0,1.0,3.0865384615384617,0,1457.619325281133,1391.38,1487.2484394506866,1542.41,3.3639362087851623,6.33889663721493,1.96501193990116,1.1489801480638562,5.33088396290259,4.315081560780527,0.0,1.0,2.0,8.0,3.0,4.0,0,3,2,8,7,5,1,0,1,1,0,0,3,2,0,5,4,1,1,1,1,0,0,0,1,1,1,0,0,0
167,5,3,725,0.459583677,NA,NA,1575.006,4.0,0.0,1.0,3.0865384615384617,0,1589.0553935860057,1557.54,1593.7153558052435,1588.5,9.092602623815765,1.7811891316086985,2.7732785223197425,0.9515262426866684,6.764331297352328,7.972821909657796,3.0,1.0,6.0,2.0,4.0,1.0,3,1,6,2,0,5,1,1,1,1,0,0,3,1,2,4,5,0,1,1,1,0,0,1,1,1,1,1,0,0
168,5,3,730,0.46025869399999997,NA,NA,1846.404,4.0,0.0,1.0,3.0865384615384617,0,1895.182840483132,1883.71,1886.9063670411986,1945.81,1.890352517759311,0.9469438653759426,6.896267157178954,2.864384382570279,3.905261138192145,5.601021847614902,2.0,6.0,4.0,1.0,3.0,0.0,2,6,4,1,8,3,1,1,1,1,0,0,1,0,3,4,5,2,1,1,1,0,0,1,1,1,1,1,0,0
169,5,4,3,NA,NA,NA,1934.239,2.0,NA,NA,3.0865384615384617,0,1899.143273635985,1878.75,1865.6466916354557,1854.72,2.0529965491732582,7.036355674354127,0.9885370718402555,3.133346523856744,4.05343474453548,5.1642773568455596,5.0,2.0,2.0,8.0,3.0,6.0,5,8,2,3,0,7,1,0,1,0,0,0,2,0,3,4,5,1,1,1,0,0,0,0,0,1,1,0,0,0
170,5,4,45,NA,NA,NA,1701.231,3.0,NA,NA,3.0865384615384617,0,1599.4922948771346,1624.1,1603.7990012484395,1591.94,4.329879563272698,6.624595731278532,2.168592312387773,1.2904117610742105,5.3366055911028525,3.560314440081129,1.0,6.0,4.0,3.0,3.0,2.0,8,7,4,3,0,2,0,0,1,1,0,1,3,2,5,0,4,1,1,1,1,0,0,0,1,1,0,0,0,1
171,5,4,52,NA,NA,NA,1465.8995,3.0,NA,NA,3.0865384615384617,0,1535.9625156184923,1641.67,1493.5006242197253,1501.08,2.512713367221295,4.072318198828725,3.2645933022577083,1.4180811320111388,5.159963541693287,6.151021733589005,2.0,1.0,5.0,7.0,3.0,6.0,2,3,5,7,0,1,1,0,1,1,0,0,3,0,2,1,4,5,1,1,1,0,0,0,1,1,1,0,0,0
172,5,4,55,NA,NA,NA,1659.846,3.0,NA,NA,3.0865384615384617,0,1560.3373594335694,1466.13,1600.0886392009988,1600.62,3.168170082513825,2.352550827228697,0.7390305761655327,1.5524061115866061,5.00794995277829,4.207742800703272,1.0,2.0,0.0,8.0,4.0,3.0,4,2,0,8,1,6,0,1,1,1,0,0,2,3,1,0,5,4,1,1,1,0,0,0,1,1,0,1,0,0
173,5,4,91,0.48146721600000003,NA,NA,1587.3855,3.0,0.0,1.0,3.0865384615384617,0,1546.9825072886297,1538.41,1505.7365792759051,1540.31,5.011126512734336,2.0514547401544405,3.2038922695210204,4.059829773788806,1.0461305383068975,5.955314337450545,6.0,0.0,3.0,4.0,2.0,8.0,0,7,3,4,2,1,0,0,1,1,1,0,4,1,2,3,0,5,1,0,1,1,0,0,1,1,0,0,1,0
174,5,4,103,0.490495124,NA,NA,1622.958,4.0,0.0,1.0,3.0865384615384617,0,1514.253227821741,1468.58,1522.2559300873907,1549.0,2.003614185101469,0.9340503163548419,7.323928146230173,3.2135231590655167,4.284983213452506,5.627676498363144,7.0,2.0,8.0,1.0,0.0,3.0,7,2,4,1,0,8,1,1,0,1,1,0,1,0,3,4,5,2,1,1,1,1,0,0,1,0,1,1,1,0
175,5,4,115,0.307669493,NA,NA,1537.8775,3.0,1.0,0.0,3.0865384615384617,0,1503.1670137442732,1526.47,1504.6129837702872,1505.67,0.9189646501617972,2.0148829616518924,3.0371844537294237,3.605367308642599,4.62962571218668,5.797383258148329,6.0,5.0,1.0,0.0,4.0,3.0,6,5,4,1,2,3,1,1,0,0,0,1,0,1,2,3,4,5,1,1,0,0,0,1,0,0,1,1,0,1
176,5,4,119,0.569587532,NA,NA,1726.082,2.0,0.0,1.0,3.0865384615384617,1,1686.8096626405663,1750.49,1633.6466916354557,1649.4,1.3612748206069227,7.383054868783802,2.624128455950995,3.432226545570302,5.895359405709314,5.022996275482001,0.0,6.0,3.0,5.0,1.0,2.0,0,4,8,5,2,7,1,0,0,1,0,0,0,2,3,5,4,1,1,0,1,0,0,0,1,0,1,0,0,0
177,5,4,128,0.523531974,NA,NA,1685.5775,3.0,0.0,1.0,3.0865384615384617,0,1587.619325281133,1603.94,1553.9463171036205,1561.25,7.938617868567235,1.179745909423218,2.210845520326984,4.2439861465245485,3.116209863932454,5.347242020681733,4.0,2.0,7.0,1.0,3.0,5.0,0,2,7,4,3,1,0,1,1,0,1,0,1,2,4,3,5,0,1,1,1,0,0,0,0,1,0,1,1,0
178,5,4,134,0.302866355,NA,NA,1577.8265,2.0,1.0,0.0,3.0865384615384617,0,1594.6926280716368,1543.1,1557.9825218476904,1642.56,3.3032440140814288,5.919330145552522,1.0656859681621427,1.960268197217374,4.984137442239444,4.111665119533427,5.0,1.0,6.0,7.0,4.0,8.0,5,8,6,4,3,1,1,0,1,0,0,0,2,3,0,5,4,1,1,0,1,0,0,0,0,1,1,0,0,0
179,5,4,154,0.301283776,NA,NA,1698.238,2.0,1.0,0.0,3.0865384615384617,0,1686.6197417742608,1633.87,1642.3495630461923,1713.55,0.7129954429983627,1.5025983815576183,6.166796481207712,2.656105883055716,3.8880349575483706,5.095499787887093,6.0,1.0,4.0,0.0,2.0,3.0,6,1,8,4,0,2,1,1,0,0,0,0,0,1,3,4,5,2,1,1,0,0,0,0,0,0,1,1,0,0
